star_score,reviews
4,디자인
4,속편안
4,앙념게장
5,잘 먹었습니다
5,고기의 맛과 질이 좋고 서비스도 매우 좋았어요 다음에 또 방문하겠습니다
5,친절하고 직접 다 구워주시니 좋아요
5,역시 별개 맛집 특히 초계탕 닭무침 녹두전이 맛있다 냉면사리 시켜서 초계탕에 넣어먹거나 닭무침 비벼먹기
5,육칼이랑 무해정칼국수 국물시원하니 좋습니다
3,의정부 부대찌개 대명사라고 할 수 있는 곳 역시 부대찌개의 원조라고 불리는 집답게 국물 맛부터 남다르네요 국물이 깔끔한데 양념 맛은 진하게 잘 느껴지고 기본적으로 들어가는 재료들도 정말 하나하나 잘 관리한 듯한 느낌을 받았습니다 화력이 세서 먹으면 먹을수록 국물이 더 맛있게 졸여져요
4,기능동에서 족발은 여기서만 먹습니다 마늘 족발이 별미입니다 조금 남아 포장해 더라도 앞다리살을 주문합니다 마늘 족발은 마늘이 아낌없이 들어가 있고 물리지 않고 다 먹을 수 있습니다
5,입구에 도착하자마자 와크고 넓은 규모의 카페와 레스토랑에 입이 쫙 벌어집니다  직원분들도 친절하시고 음식 맛도 좋고 깔끔하고 주차하기도 편하고 바로 옆에 승마장도 있어서 승마체험도 할 수 있으니 그것도 좋더라구요 가끔 시간될때마다 방문하는데 그때마다 정말 마음편히 힐링하고 갑니다
5,직원분들이 친절하신것은 기본 커피맛도 레스토랑도 맛이 일품인곳 레스토랑 분위기는 고급지고요 카페도 코로나시국에 외부에서 사람들 만나기 어려운데 여기는 테이블 간격이 떨어져 있어서 더 안심되는 곳이였어요 주차하기도 편하고 해서 자주 애용 하는곳입니다 외부 잔디와 뒷편 승마장 풍경도 예술인곳 사진찍을때도 초록초록 너무 이뿌게 나와서 종종 이용하고 있습니당
5,잔디보면서 힐링되는곳이예여 연인이나 가족들이 함께하기 좋은곳 음식도 맛있고 디저트도 맛있고 이쁘네여
5,집근처라 여러번 방문했지만 리뷰를 작성하는건 처음이라추워지기전에 방문했음 훨씬 좋았겠지만 지금도 너무 춥지않은날 가기에 나쁘지 않다 우선 레스토랑에서 루꼴라피자와 로제파스타를 먹어봤는데 화덕피자라 느끼하지않고 끝까지 맛있게 먹을 수 있었고 로제파스타도 깊고 풍부한 맛이 느껴져 아이들도 잘먹었다 식사후 카페에서 로 할인을 해줘 후식을 즐겼는데 우선 할인을 해주는게 좋았고 이규모의 카페에서 다른 일반 프랜차이즈 카페에 비하면 가격이 비싸다고 느낄수 있으나 나는 지지난주 단궁에 갔다가 가격에 놀라 되려 파크프리베의 음료가격이 싸게 느껴질 정도였다 가족들이랑 식사후에 푸른 잔디를 바라보면서 여유있는 시간을 보내기에 최적의 장소라고 생각된다
5,넓은 정원이랑 맛있는 커피랑 디저트 너무 힐링했어요 직원들도 너무 친절하게 안내해주셨고 행복한 시간이었습니다
